,ID,START_STEP,END_STEP,START_TIME,END_TIME,TOTAL_TIME
-,a460823f-ae9f-40af-b5ce-49ef523b62a2,PRE_PROCESSING,PIPELINE_FINISHED,2020-12-22 07:05:20.690,2020-12-22 07:06:38.723,0 days 00:01:18.033000
-,49c27239-24a3-4dfb-a050-e8a2f26a56d6,PRE_PROCESSING,PIPELINE_FINISHED,2020-12-22 06:59:22.972,2020-12-22 07:00:29.089,0 days 00:01:06.117000
-,3bbad02e-74b8-415b-a618-cf320762301c,PRE_PROCESSING,PIPELINE_FINISHED,2020-12-22 06:53:54.178,2020-12-22 06:54:56.386,0 days 00:01:02.208000
-,69f4c9c4-2e2a-42f3-ba7b-d2d2e66a756f,PRE_PROCESSING,PIPELINE_FINISHED,2020-12-22 07:01:46.276,2020-12-22 07:03:01.373,0 days 00:01:15.097000
-,7d7c1e94-3294-41de-a97e-7cf926bc6a05,PRE_PROCESSING,PIPELINE_FINISHED,2020-12-22 06:58:08.785,2020-12-22 06:59:06.179,0 days 00:00:57.394000
-,bf3fd5d1-4f28-4aed-ab3d-d173725f4c59,PRE_PROCESSING,PIPELINE_FINISHED,2020-12-22 07:03:54.789,2020-12-22 07:04:57.384,0 days 00:01:02.595000
-,83ea2689-c00b-4605-9190-e5996fc12908,PRE_PROCESSING,PIPELINE_FINISHED,2020-12-22 06:54:57.486,2020-12-22 06:58:42.686,0 days 00:03:45.200000
-,25f57b1f-61fa-4086-ae7d-59dd55291fe6,PRE_PROCESSING,PIPELINE_FINISHED,2020-12-22 06:54:52.231,2020-12-22 06:56:58.922,0 days 00:02:06.691000
-,e319284c-3081-4aa8-8887-75bf3b920d54,PRE_PROCESSING,PIPELINE_FINISHED,2020-12-22 06:59:28.407,2020-12-22 07:00:40.584,0 days 00:01:12.177000
-,43b722eb-4b37-4a55-9afc-fa7045394f60,PRE_PROCESSING,PIPELINE_FINISHED,2020-12-22 07:01:57.909,2020-12-22 07:03:28.366,0 days 00:01:30.457000
-,60929336-146e-486f-a7ae-8753dcf03393,PRE_PROCESSING,PIPELINE_FINISHED,2020-12-22 06:57:58.684,2020-12-22 06:58:51.935,0 days 00:00:53.251000
-,5fe2d1d9-7840-4823-a29b-7ce1b2dc7b46,PRE_PROCESSING,PIPELINE_FINISHED,2020-12-22 06:59:56.572,2020-12-22 07:01:56.551,0 days 00:01:59.979000
-,4df9f3d1-4ed6-4dba-8c9a-ca2412eadc70,PRE_PROCESSING,PIPELINE_FINISHED,2020-12-22 07:00:42.106,2020-12-22 07:02:11.138,0 days 00:01:29.032000
-,94866eb5-83cf-4dad-87a6-477a9526866e,PRE_PROCESSING,PIPELINE_FINISHED,2020-12-22 06:54:02.794,2020-12-22 06:55:17.826,0 days 00:01:15.032000
-,54ba61ac-9459-430e-9d75-ea8af4864889,PRE_PROCESSING,PIPELINE_FINISHED,2020-12-22 06:58:34.931,2020-12-22 06:59:55.276,0 days 00:01:20.345000
-,ac73bf19-884f-4919-bd31-82e6279747c2,PRE_PROCESSING,PIPELINE_FINISHED,2020-12-22 06:55:29.341,2020-12-22 06:57:17.913,0 days 00:01:48.572000
